"slug","expectedPublishedAt","actualPublishedAt","expectedDateModified","actualDateModified","status"
"how-do-smart-speakers-use-artificial-intelligence","2024-03-18T14:15:06Z","2024-03-18T14:15:06.000Z","2024-07-15T20:10:47Z","2024-07-15T20:10:47.000Z","ok"
"smart-plugs-vs-traditional-outlets","2024-03-21T08:17:55Z","2024-03-21T08:17:55.000Z","2024-07-15T20:10:44Z","2024-07-15T20:10:44.000Z","ok"
"how-to-choose-the-right-smart-plugs-for-my-home","2024-03-21T08:17:55Z","2024-03-21T08:17:55.000Z","2024-06-26T03:25:53Z","2024-06-26T03:25:53.000Z","ok"
"top-7-smart-locks-to-enhance-your-home-security","2024-03-21T08:17:55Z","2024-03-21T08:17:55.000Z","2024-06-26T03:26:06Z","2024-06-26T03:26:06.000Z","ok"
"z-wave-technology-smart-home-hubs","2024-04-06T21:24:22Z","2024-04-06T21:24:22.000Z","2024-07-15T20:13:18Z","2024-07-15T20:13:18.000Z","ok"
"top-7-smart-speakers-products-for-enhanced-living","2024-04-12T06:55:18Z","2024-04-12T06:55:18.000Z","2024-06-26T03:17:03Z","2024-06-26T03:17:03.000Z","ok"
"transform-your-space-with-tp-link-tapo-l530e-smart-light-bulbs","2024-04-12T06:55:18Z","2024-04-12T06:55:18.000Z","2024-07-15T20:13:41Z","2024-07-15T20:13:41.000Z","ok"
"smart-light-bulbs-wifi-connected-smart-home-system","2024-04-18T10:24:35Z","2024-04-18T10:24:35.000Z","2024-07-15T20:10:39Z","2024-07-15T20:10:39.000Z","ok"
"review-govee-smart-light-bulbs-4-pack","2024-04-18T10:24:38Z","2024-04-18T10:24:38.000Z","2024-07-15T20:14:18Z","2024-07-15T20:14:18.000Z","ok"
"smart-water-heaters-troubleshooting-common-issues","2024-04-18T10:24:38Z","2024-04-18T10:24:38.000Z","2024-07-15T20:08:22Z","2024-07-15T20:08:22.000Z","ok"
"sunrise-vs-traditional-alarm-clocks","2024-04-18T10:24:38Z","2024-04-18T10:24:38.000Z","2024-07-15T20:12:06Z","2024-07-15T20:12:06.000Z","ok"
"amazon-smart-air-quality-monitor-review","2024-04-18T10:24:41Z","2024-04-18T10:24:41.000Z","2024-07-15T20:08:16Z","2024-07-15T20:08:16.000Z","ok"
"set-up-homekit-compatible-devices","2024-04-18T10:24:43Z","2024-04-18T10:24:43.000Z","2024-07-15T20:13:26Z","2024-07-15T20:13:26.000Z","ok"
"kasa-smart-2k-indoor-security-camera-review","2024-04-18T10:24:45Z","2024-04-18T10:24:45.000Z","2024-07-15T20:10:36Z","2024-07-15T20:10:36.000Z","ok"
"share-access-arlo-pro-3-camera","2024-04-18T10:24:47Z","2024-04-18T10:24:47.000Z","2024-06-26T03:23:54Z","2024-06-26T03:23:54.000Z","ok"
"configure-smart-security-sensors","2024-04-18T10:24:47Z","2024-04-18T10:24:47.000Z","2024-06-26T03:26:14Z","2024-06-26T03:26:14.000Z","ok"
