"slug","legacyWpId","currentPublishedAt","currentUpdatedAt","restoredPublishedAt","restoredModifiedAt","source","status"
"how-do-smart-speakers-use-artificial-intelligence","23978","2024-03-18T14:15:06.000Z","2026-05-12T05:37:14.354Z","2024-03-18T14:15:06Z","2024-07-15T20:10:47Z","wp REST post 23978","ok"
"smart-plugs-vs-traditional-outlets","24008","2024-03-21T08:17:55.000Z","2026-05-12T05:37:14.354Z","2024-03-21T08:17:55Z","2024-07-15T20:10:44Z","wp REST post 24008","ok"
"how-to-choose-the-right-smart-plugs-for-my-home","24012","2024-03-21T08:17:55.000Z","2026-05-12T05:37:14.354Z","2024-03-21T08:17:55Z","2024-06-26T03:25:53Z","wp REST post 24012","ok"
"top-7-smart-locks-to-enhance-your-home-security","24018","2024-03-21T08:17:55.000Z","2026-05-12T05:37:14.354Z","2024-03-21T08:17:55Z","2024-06-26T03:26:06Z","wp REST post 24018","ok"
"z-wave-technology-smart-home-hubs","29885","2024-04-06T21:24:22.000Z","2026-05-12T05:37:14.354Z","2024-04-06T21:24:22Z","2024-07-15T20:13:18Z","wp REST post 29885","ok"
"top-7-smart-speakers-products-for-enhanced-living","23953","2024-04-12T06:55:18.000Z","2026-05-12T05:37:14.354Z","2024-04-12T06:55:18Z","2024-06-26T03:17:03Z","wp REST post 23953","ok"
"transform-your-space-with-tp-link-tapo-l530e-smart-light-bulbs","23998","2024-04-12T06:55:18.000Z","2026-05-12T05:37:14.354Z","2024-04-12T06:55:18Z","2024-07-15T20:13:41Z","wp REST post 23998","ok"
"smart-light-bulbs-wifi-connected-smart-home-system","30244","2024-04-18T10:24:35.000Z","2026-05-12T05:37:14.354Z","2024-04-18T10:24:35Z","2024-07-15T20:10:39Z","wp REST post 30244","ok"
"review-govee-smart-light-bulbs-4-pack","30184","2024-04-18T10:24:38.000Z","2026-05-12T05:37:14.354Z","2024-04-18T10:24:38Z","2024-07-15T20:14:18Z","wp REST post 30184","ok"
"smart-water-heaters-troubleshooting-common-issues","30185","2024-04-18T10:24:38.000Z","2026-05-12T05:37:14.354Z","2024-04-18T10:24:38Z","2024-07-15T20:08:22Z","wp REST post 30185","ok"
